evote,education,party,age,danish_Status,sex_new,marital_status_new
1,Primary education,Green,30-50,Denmark,Male,Never married
1,Vocational Education and Training (VET),Red,50-70,Non-Danish,Male,Married/separated
0,Masters programmes,Red,30-50,Denmark,Male,Divorced
0,Vocational bachelors educations,Green,30-50,Denmark,Female,Never married
0,Short cycle higher education,Red,50-70,Denmark,NA,Never married
0,Vocational Education and Training (VET),Green,30-50,Denmark,NA,Never married
0,Upper secondary education,Green,Under 30,Denmark,Female,Never married
0,Vocational Education and Training (VET),Green,30-50,Denmark,Female,Married/separated
0,Masters programmes,Red,30-50,Non-Danish,Male,Divorced
0,Masters programmes,Red,50-70,Denmark,Female,Married/separated
1,Primary education,Red,70+,Denmark,Male,Married/separated
0,Vocational Education and Training (VET),Green,50-70,Denmark,Female,Never married
0,Primary education,Red,50-70,Denmark,Female,Never married
1,Vocational Education and Training (VET),Green,30-50,Denmark,Male,Never married
0,Primary education,Green,Under 30,Denmark,Male,Married/separated
0,Vocational Education and Training (VET),Red,50-70,Non-Danish,Male,Never married
0,Masters programmes,Green,30-50,Denmark,Male,Never married
0,Masters programmes,Green,50-70,Denmark,Male,Never married
0,Vocational bachelors educations,Red,50-70,Denmark,Female,Married/separated
0,Vocational bachelors educations,Red,30-50,Denmark,Female,Never married
1,Vocational bachelors educations,Invalid vote,30-50,Denmark,NA,Divorced
1,Vocational bachelors educations,Green,50-70,Denmark,Female,Never married
1,Primary education,Green,50-70,Denmark,Male,Married/separated
0,Primary education,Green,50-70,Denmark,Female,Never married
0,Vocational Education and Training (VET),Red,30-50,Denmark,Male,Never married
0,Vocational Education and Training (VET),Green,Under 30,Denmark,Female,Never married
0,Vocational Education and Training (VET),Green,50-70,Denmark,Male,Never married
0,Vocational Education and Training (VET),Green,30-50,Denmark,Male,Never married
0,Primary education,Green,Under 30,Denmark,Male,Married/separated
0,Masters programmes,Green,30-50,Denmark,Female,Married/separated
0,Masters programmes,Green,Under 30,Denmark,Female,Never married
0,Primary education,Red,70+,Denmark,NA,Married/separated
1,Vocational Education and Training (VET),Green,Under 30,Denmark,Female,Never married
0,Vocational Education and Training (VET),Green,50-70,Denmark,Female,Married/separated
0,Vocational bachelors educations,Red,50-70,Denmark,Female,Widowed
1,Upper secondary education,Green,Under 30,Denmark,Male,Never married
0,Vocational bachelors educations,Green,Under 30,Denmark,Female,Married/separated
1,Masters programmes,Red,Under 30,Denmark,Male,Married/separated
0,Vocational Education and Training (VET),Red,50-70,Denmark,Female,NA
1,Masters programmes,Green,30-50,Denmark,Male,Never married
0,Vocational Education and Training (VET),Green,30-50,Denmark,Female,Never married
1,Primary education,Green,30-50,Denmark,Male,Never married
0,Vocational Education and Training (VET),Red,70+,Denmark,Female,Married/separated
0,Upper secondary education,Green,30-50,Denmark,Male,Never married
0,Short cycle higher education,Green,30-50,Denmark,Female,Never married
1,Upper secondary education,Green,Under 30,Denmark,Male,Married/separated
1,Primary education,Red,50-70,Denmark,Male,Never married
1,Upper secondary education,Green,Under 30,Denmark,Female,Married/separated
0,Vocational Education and Training (VET),Green,30-50,Denmark,Male,Divorced
0,Masters programmes,Red,70+,Denmark,NA,Divorced
0,Masters programmes,Red,70+,Denmark,Female,Married/separated
0,Masters programmes,Red,30-50,Denmark,Male,Divorced
0,Vocational bachelors educations,Red,30-50,Denmark,Male,Never married
0,Not stated,Green,50-70,Denmark,Female,Never married
1,Vocational Education and Training (VET),Green,70+,Denmark,Female,Never married
0,Primary education,Green,50-70,Denmark,Male,Married/separated
1,Primary education,Red,50-70,Denmark,Female,Married/separated
0,Primary education,Green,50-70,Denmark,Male,Married/separated
0,Vocational Education and Training (VET),Green,50-70,Denmark,Male,Married/separated
0,Vocational Education and Training (VET),Red,30-50,Denmark,Male,Married/separated
1,Vocational Education and Training (VET),Green,50-70,Non-Danish,Female,Never married
0,Vocational Education and Training (VET),Green,50-70,Denmark,Female,Widowed
1,Primary education,Green,30-50,Denmark,Male,Never married
0,Short cycle higher education,Green,50-70,Non-Danish,Male,Never married
0,Vocational bachelors educations,Red,50-70,Denmark,Female,Married/separated
0,Vocational Education and Training (VET),Green,30-50,Non-Danish,Male,Divorced
0,Vocational Education and Training (VET),Green,30-50,Denmark,Male,Married/separated
0,Primary education,Green,50-70,Non-Danish,Female,Married/separated
0,Vocational bachelors educations,Red,50-70,Non-Danish,Female,Married/separated
0,Not stated,Green,Under 30,Denmark,NA,Never married
0,Vocational Education and Training (VET),Green,30-50,Denmark,Male,Widowed
1,Primary education,Green,Under 30,Denmark,Female,Never married
1,Upper secondary education,Green,Under 30,Denmark,Male,Divorced
0,Short cycle higher education,Green,30-50,Denmark,NA,Never married
1,Primary education,Green,Under 30,Denmark,Male,Married/separated
0,Masters programmes,Red,30-50,Denmark,Female,Never married
1,Short cycle higher education,Green,30-50,Denmark,Male,Married/separated
0,Vocational bachelors educations,Green,30-50,Denmark,Female,Married/separated
0,Primary education,Green,70+,Denmark,Male,Never married
1,Bachelors programmes,Green,Under 30,Denmark,Female,Married/separated
1,Masters programmes,Invalid vote,30-50,Non-Danish,Female,Divorced
1,Vocational Education and Training (VET),Green,30-50,Denmark,Male,Married/separated
0,Vocational bachelors educations,Red,30-50,Denmark,Male,Divorced
0,Vocational bachelors educations,Red,50-70,Denmark,Female,Married/separated
0,Vocational Education and Training (VET),Green,70+,Denmark,Female,Married/separated
1,Primary education,Green,Under 30,Denmark,Female,Married/separated
0,Masters programmes,Red,50-70,Denmark,Male,Never married
1,Vocational bachelors educations,Red,30-50,Denmark,Female,Divorced
0,Upper secondary education,Green,Under 30,Denmark,Male,Never married
1,Masters programmes,Red,30-50,Denmark,Male,Never married
0,Upper secondary education,Green,30-50,Denmark,Male,Never married
0,Bachelors programmes,Green,Under 30,Denmark,Female,Divorced
1,Vocational Education and Training (VET),Green,50-70,Denmark,Female,Divorced
1,Vocational Education and Training (VET),Green,30-50,Denmark,Female,Married/separated
1,Upper secondary education,Green,30-50,Denmark,Male,Widowed
1,Upper secondary education,Green,Under 30,Denmark,Male,Married/separated
1,Not stated,Green,Under 30,Denmark,Male,Never married
0,Primary education,Red,50-70,Denmark,Female,Married/separated
0,Upper secondary education,Green,Under 30,Denmark,Male,Never married
1,Masters programmes,Red,30-50,Denmark,Female,Married/separated
1,Vocational Education and Training (VET),Green,50-70,Denmark,Female,Married/separated
1,Vocational bachelors educations,Red,30-50,Denmark,Female,Married/separated
1,Vocational bachelors educations,Red,50-70,Denmark,Female,Divorced
1,Short cycle higher education,Green,30-50,Denmark,Male,Married/separated
1,Masters programmes,Red,Under 30,Non-Danish,Male,Never married
0,Vocational bachelors educations,Red,30-50,Denmark,Male,Married/separated
0,Vocational Education and Training (VET),Green,50-70,Denmark,Female,Divorced
0,Vocational Education and Training (VET),Green,50-70,Denmark,Male,Never married
0,Vocational Education and Training (VET),Red,70+,Denmark,Male,Divorced
0,Vocational bachelors educations,Green,30-50,Denmark,Male,Never married
0,Bachelors programmes,Green,Under 30,Denmark,Male,Married/separated
0,Vocational Education and Training (VET),Green,30-50,Denmark,Female,Divorced
1,Short cycle higher education,Red,50-70,Denmark,Female,Never married
0,Primary education,Green,30-50,Denmark,Male,Married/separated
1,Vocational bachelors educations,Red,50-70,Denmark,Female,Married/separated
0,Vocational Education and Training (VET),Red,50-70,Denmark,Female,Married/separated
0,Vocational Education and Training (VET),Green,50-70,Denmark,Female,Never married
0,Primary education,Green,Under 30,Denmark,Male,Married/separated
1,Primary education,Red,50-70,Denmark,Male,Divorced
0,Vocational bachelors educations,Red,50-70,Denmark,Female,Married/separated
1,Primary education,Red,70+,Denmark,Male,Married/separated
1,Vocational bachelors educations,Green,30-50,Denmark,Female,Married/separated
1,Vocational Education and Training (VET),Green,50-70,Denmark,Male,Never married
0,Vocational Education and Training (VET),Green,50-70,Denmark,Female,Never married
1,Vocational bachelors educations,Red,50-70,Non-Danish,Female,Married/separated
0,Vocational Education and Training (VET),Red,50-70,Denmark,Male,Married/separated
1,Vocational Education and Training (VET),Green,50-70,Denmark,Male,Never married
1,Vocational Education and Training (VET),Red,50-70,Denmark,Female,Never married
1,Vocational Education and Training (VET),Green,30-50,Denmark,Male,Never married
0,Primary education,Green,Under 30,Denmark,Female,Never married
0,Vocational bachelors educations,Green,30-50,Denmark,Female,Never married
1,Vocational Education and Training (VET),Green,50-70,Denmark,Female,Married/separated
1,Upper secondary education,Green,Under 30,Denmark,Male,Never married
0,Vocational Education and Training (VET),Red,50-70,Denmark,Male,Divorced
0,Primary education,Green,30-50,Denmark,Male,Never married
1,Vocational bachelors educations,Red,Under 30,Denmark,Male,Married/separated
1,Vocational bachelors educations,Red,50-70,Denmark,Female,Married/separated
0,Vocational bachelors educations,Red,50-70,Denmark,Female,Married/separated
1,Masters programmes,Green,Under 30,Denmark,Male,Never married
1,Vocational Education and Training (VET),Green,Under 30,Denmark,Female,Married/separated
